OVX,GZL,VIX,VSTOXX,CIG,ELP,VER,NDX1,VWS,SGRE,AA4,PLUG,ORA,FSLR,SPWR,CSIQ,BLX,INE,CEN,GCLP
41.75,22.89,20.24,33,1.59450999322415,1.94396374298508,2.32419858856028,3.47946970308471,1.51186941976066,2.4362715266073,0.890968155250397,5.06818189259092,1.03647849152059,3.00843613417475,3.73113447296968,4.23493462053749,1.36538719264868,2.43460645261769,1.13872142680339,4.72562444935543
52.03,23.6,23.56,36.83,3.03868053015461,1.33998714857871,0.659053030746037,1.65973767285482,2.07008293313771,2.24073041216973,2.0454242190683,2.28281555862937,2.84404185988413,3.15940589057263,4.27708011404716,7.01965875106937,3.22127946627001,0.559523610125394,1.54735646662578,2.79082168341896
48.13,25.39,23.18,37.8,2.09549198580603,1.99805327651438,1.121588606138,2.61535902792847,2.13699255593066,2.10903549789416,2.40930074401065,4.32168592572663,1.35159608814684,3.47171481945763,2.72805320958081,4.75410925661518,3.98275425337746,1.49923943234627,0.425024695113512,3.98064278812129
48.4,25.36,24.12,38.98,2.15238641660002,2.07136873578641,1.92169483244299,1.80027499158255,1.48661260311665,1.67695633710248,1.37283117031869,2.90036971317156,0.954495709259563,4.27804044660295,2.59032348068961,3.72016733731822,0.603909525243873,1.10216582118592,0.561326838719633,4.8271332999056
49.19,24.94,21.22,34.5,1.20950484168349,1.97233189458819,1.91921006976434,1.21424058155983,1.23401146749465,3.7392500996806,0.601906457598316,3.21962977889034,1.51490073856846,1.81084989472615,2.70452093223504,2.42776492936243,2.40390045953445,0.795584232746584,1.4706442482439,2.38088086799245
50.45,24.98,20.95,35.5,0.640439669663587,1.44902921921297,2.89325549620479,3.5090547112176,0.976433555081463,2.60994824953768,1.12276091136145,2.80482824391674,1.21459505314248,1.71749725820751,2.72331702845068,4.21417325659887,1.87204294523131,0.681627267382413,1.08443251473895,3.28512738463006
48.51,24.45,21.13,34.43,1.82152478008432,2.31337630004227,3.42963090973675,1.89131895695968,2.91941964040901,1.69594809833677,2.0705587699954,3.23803781519437,3.63715644363855,2.49115926452163,2.39507763751182,4.97333887383489,5.75768996178986,0.742094912812043,1.23207245342599,1.55327139269728
46.15,23.93,22.24,36.2,0.98558863896886,1.16624174733833,2.2082751019623,3.12238617602615,2.75167757159405,3.55970092446272,1.35795737731506,5.94673745085836,2.05290918525513,2.29193209751911,3.89506156518489,4.16605090375595,0.820865168686159,0.883096964991473,0.818626326841472,5.03819618954343
46.62,24.33,21.58,35.71,2.62384265237938,1.49384890255291,2.25455737176027,3.0724388703661,2.01392298314108,2.73958898356918,0.849207012152256,4.07040489100507,1.09544449173048,2.02079879222355,2.29682747264174,4.39254843270368,2.68484633041669,0.776909942580775,0.440632786804951,3.12218017252255
47.16,26.22,22.87,37.57,3.32428418436305,2.49123794806244,2.95906225292112,1.82270533725157,3.1024281522983,2.72861468221516,3.57277598266097,4.44421899951947,2.07124763235402,1.93874758049628,3.55655990875161,20.5153717361882,1.41266946088626,2.1577629253455,0.695081421380259,4.25228056013812
44.29,27.18,22.64,35.63,1.65392118460928,2.20746434146464,2.0531297859131,1.12318343285046,1.65823057862863,1.54566574274827,1.01476418902278,5.17597752690924,1.270833150647,1.73241546454423,2.96025578773132,3.26051873959034,3.33314080885167,0.379731128448255,1.22209584027277,3.0732201270105
44.49,26.79,22.42,36.44,1.48445984180805,6.14690448675742,2.32761931603352,5.39149091296668,2.80684932587378,2.59880847006398,2.20316147894555,5.97988254217942,1.9095495621458,2.38622632423359,2.57352117119846,4.51085503442078,2.1954407292786,3.9996757429103,1.85767400180727,5.80284739466436
43.97,26.78,21.14,34.09,2.77893323376944,3.11031791927056,1.55245032732786,2.53509185175886,1.00410114794807,1.51808879349123,1.75658419974468,4.54818524857562,1.852420941337,2.64947694244998,3.1460321892649,4.26961564325073,0.517265592801082,2.04863344106032,0.699491000351724,1.64575336235208
44.68,27.33,23.93,38.59,1.82704081853735,2.40103025863479,2.60285067338132,1.95103248333522,2.20250392965513,3.77586815439776,2.80768468200922,11.9839380966714,2.21900043891837,2.63888603386871,2.57929596973956,4.88100853447207,1.08553762571709,0.742510611506888,0.657110041168789,2.0515852827123
43.83,26.47,23.44,39.32,1.50210172700031,2.68220560059731,2.47514589291445,1.7681676425225,4.26049723319769,3.17495401482152,3.3818599684285,8.71022595673406,2.69566379139101,2.65111678406001,3.57071634523741,6.20695023358448,2.81386321975943,2.77543012553174,1.08819531973219,1.04157370098819
45.11,26.92,23.95,38.86,1.4549813917002,1.73673387635231,2.13644418783762,3.97902057494963,3.07076711318497,5.48941340341134,1.68098791806678,6.19178023740865,1.53334850520309,2.1446813988606,3.5766798751612,3.50932255046601,1.8364609973129,0,1.64216191111353,1.72463816415969
46.05,27.54,25.92,41.86,1.74427840430511,1.49739031821424,3.88500887528225,1.75523391271321,2.64976630188093,2.27226856425857,3.33067619861447,7.90791386053473,1.60034450734313,3.99873662986226,3.63231471046322,6.23531078770035,3.20456154479892,0.63861078176798,1.07278872256123,5.72176663376895
